Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2018,123572,Sonoma State University,115600,1,Sonoma State University,9459,2,0,3
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,0,6,0
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,0,0,0
2019,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,28058,0,0,0
2019,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,941,0,0,0
2019,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,941,0,0,0
2019,110486,California State University-Bakersfield,799300,1,Main Campus,11531,0,0,0
2019,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7525,0,0,0
2019,110538,California State University-Chico,114600,1,Main Campus,17110,0,0,0
2019,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,17110,0,0,0
2019,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,17977,0,0,0
2019,110574,California State University-East Bay,113800,1,Main Campus,16064,0,2,0
2019,110556,California State University-Fresno,114700,1,Main Campus,24298,0,0,0
2019,110565,California State University-Fullerton,113700,1,Main Campus,40445,1,1,0
2019,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40445,0,0,0
2019,110583,California State University-Long Beach,113900,1,Main Campus,38674,0,2,0
2019,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26671,0,0,0
2019,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7650,1,1,0
2019,110608,California State University-Northridge,115300,1,California State University- Northridge,39910,0,0,0
2019,110617,California State University-Sacramento,115000,1,Sacramento State,31992,0,0,0
2019,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20638,0,0,0
2019,366711,California State University-San Marcos,3011300,1,Main Campus,16053,0,0,0
2019,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10974,0,0,0
2019,122409,San Diego State University,115100,1,Main Campus,35544,0,2,2
2019,122597,San Francisco State University,115400,1,Main Campus,29032,0,1,0
2019,122755,San Jose State University,115500,1,Main Campus,36085,0,1,0
2019,123572,Sonoma State University,115600,1,Sonoma State University,8887,0,1,0
2020,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22440,0,3,0
2020,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6612,0,3,2
2020,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,30014,0,0,0
2020,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,952,0,0,0
2020,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,952,0,0,0
2020,110486,California State University-Bakersfield,799300,1,Main Campus,11745,0,0,0
2020,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7446,0,1,0
2020,110538,California State University-Chico,114600,1,Main Campus,16746,1,0,0
2020,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,16746,0,0,0
2020,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,18687,0,0,0
2020,110574,California State University-East Bay,113800,1,Main Campus,16253,1,0,0
2020,110556,California State University-Fresno,114700,1,Main Campus,25497,0,0,0
2020,110565,California State University-Fullerton,113700,1,Main Campus,42051,0,1,0
2020,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,42051,0,0,0
2020,110583,California State University-Long Beach,113900,1,Main Campus,40069,0,1,0
2020,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26745,0,0,0
2020,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7409,0,4,0
2020,110608,California State University-Northridge,115300,1,California State University- Northridge,40381,0,0,0
2020,110617,California State University-Sacramento,115000,1,Sacramento State,32293,2,0,0
2020,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19689,0,1,0
2020,366711,California State University-San Marcos,3011300,1,Main Campus,16367,0,0,0
2020,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,11163,0,0,0
2020,122409,San Diego State University,115100,1,Main Campus,36334,0,5,0
2020,122597,San Francisco State University,115400,1,Main Campus,27349,0,0,0
2020,122755,San Jose State University,115500,1,Main Campus,36208,0,1,0
2020,123572,Sonoma State University,115600,1,Sonoma State University,8018,0,0,0
2021,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22231,0,0,0
2021,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,5908,1,0,0
2021,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,29456,0,0,0
2021,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,925,0,0,0
2021,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,925,0,0,0
2021,110486,California State University-Bakersfield,799300,1,Main Campus,10972,0,0,0
2021,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6966,0,0,0
2021,110538,California State University-Chico,114600,1,Main Campus,15702,0,0,0
2021,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,15702,0,0,0
2021,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,17837,0,0,0
2021,110574,California State University-East Bay,113800,1,Main Campus,15189,0,0,0
2021,110556,California State University-Fresno,114700,1,Main Campus,25047,0,0,0
2021,110565,California State University-Fullerton,113700,1,Main Campus,40738,0,0,0
2021,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40738,0,0,0
2021,110583,California State University-Long Beach,113900,1,Main Campus,40190,0,0,5
2021,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27513,0,0,0
2021,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7503,2,0,0
2021,110608,California State University-Northridge,115300,1,California State University- Northridge,40108,0,0,0
2021,110617,California State University-Sacramento,115000,1,Sacramento State,32498,0,0,0
2021,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19514,0,0,0
2021,366711,California State University-San Marcos,3011300,1,Main Campus,16255,1,0,0
