Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Category of Fire,Cause of Fire,Fire-related injuries,Fire-related deaths,Property damage
2016,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8503,Cypress Hall,271 Granite Ave,Unintentional,Machinery/Industrial,0,0,$100-$999
2016,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8503,Cypress Hall,271 Granite Ave,Unintentional,Machinery/Industrial,0,0,$100-$999
2016,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8503,Redwood Hall,250 Redwood Fire Ln,Intentional,unknown person burn the inside of a bathroom stall.,0,0,$100-$999
2016,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,25326,UHS Bldg. 54-Vista De Las Estrellas,"54 Kellogg Dr. Pomona, CA 91768",Unintentional,Cooking,0,0,"$250,000-$499,999"
2016,110538,California State University-Chico,114600,1,Main Campus,17557,University Village,1325 Nord Ave,Unintentional,Cooking,0,0,$0-$99
2016,110538,California State University-Chico,114600,1,Main Campus,17557,University Village,1325 Nord Ave,Unintentional,Other,0,0,$0-$99
2016,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7274,Frederick Park 1,East Campus Housing,Unintentional,Cooking,0,0,$0-$99
2016,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7274,Frederick Park 2,East Campus Housing,Unintentional,Electrical,0,0,"$10,000-$24,999"
2016,110608,California State University-Northridge,115300,1,California State University- Northridge,39916,UPA-2 Carragheen Hall,17950 Lassen Street,Unintentional,Cooking,0,0,$0-$99
2016,110608,California State University-Northridge,115300,1,California State University- Northridge,39916,UVA-A,10021 Zelzah Avenue,Unintentional,Other,0,0,$100-$999
2016,110608,California State University-Northridge,115300,1,California State University- Northridge,39916,UPA-19 Sycamore Hall,17950 Lassen Street,Unintentional,Open flames,0,0,$0-$99
2016,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20767,Tokay Dorm,6000 University Parkway,Intentional,"Open Flames - Arson / an individual set on fire to the paper toilet seat covers inside of the dispenser, in the guest restroom.",0,0,$0-$99
2016,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20767,Arrowhead Village #6,6000 University Parkway,Unintentional,Cooking,0,0,$0-$99
2016,122597,San Francisco State University,115400,1,Main Campus,29045,Village at Centennial Square,"750 Font Blvd, San Francisco",Unintentional,Cooking,1,0,$0-$99
2016,122597,San Francisco State University,115400,1,Main Campus,29045,University Park North,"15 Buckingham Way, San Francisco",Unintentional,Smoking materials,0,0,$0-$99
2016,122597,San Francisco State University,115400,1,Main Campus,29045,University Park North,"15 Buckingham Way, San Francisco",Unintentional,Electrical,0,0,"$1,000-$9,999"
2016,122755,San Jose State University,115500,1,Main Campus,32154,Campus Village Bldg B,350 S. 9th St.,Unintentional,Cooking,0,0,$0-$99
