Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2016,122597,San Francisco State University,115400,1,Main Campus,29045,1,5,3
2016,122755,San Jose State University,115500,1,Main Campus,32154,10,6,0
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,0,4,0
2017,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22370,0,0,3
2017,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8525,0,2,0
2017,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26053,0,2,3
2017,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1090,1,1,0
2017,110486,California State University-Bakersfield,799300,1,Main Campus,10131,1,0,0
2017,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7455,4,0,1
2017,110538,California State University-Chico,114600,1,Main Campus,17875,3,0,0
2017,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,16219,1,3,1
2017,110574,California State University-East Bay,113800,1,Main Campus,16538,2,1,1
2017,110556,California State University-Fresno,114700,1,Main Campus,25325,0,0,0
2017,110565,California State University-Fullerton,113700,1,Main Campus,40905,0,0,2
2017,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40905,0,0,0
2017,110583,California State University-Long Beach,113900,1,Main Campus,37622,0,0,0
2017,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,28531,0,0,0
2017,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7584,10,2,4
2017,110608,California State University-Northridge,115300,1,California State University- Northridge,41319,1,8,4
2017,110617,California State University-Sacramento,115000,1,Sacramento State,31255,0,4,1
2017,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20692,1,0,0
2017,366711,California State University-San Marcos,3011300,1,Main Campus,15755,0,3,3
2017,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10327,1,2,2
2017,122409,San Diego State University,115100,1,Main Campus,35158,4,3,0
2017,122597,San Francisco State University,115400,1,Main Campus,29758,0,5,0
2017,122755,San Jose State University,115500,1,Main Campus,35835,0,3,2
2017,123572,Sonoma State University,115600,1,Sonoma State University,9481,1,0,0
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,1,0,1
2018,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7972,0,1,0
2018,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26598,0,2,2
2018,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1046,0,1,0
2018,110486,California State University-Bakersfield,799300,1,Main Campus,10816,1,0,0
2018,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7488,6,0,11
2018,110538,California State University-Chico,114600,1,Main Campus,17578,0,2,1
2018,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,17578,0,0,0
2018,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,16732,0,1,1
2018,110574,California State University-East Bay,113800,1,Main Campus,15628,0,0,2
2018,110556,California State University-Fresno,114700,1,Main Campus,25137,1,1,0
2018,110565,California State University-Fullerton,113700,1,Main Campus,40280,0,6,0
2018,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40280,0,0,0
2018,110583,California State University-Long Beach,113900,1,Main Campus,37466,0,1,0
2018,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,28036,0,2,0
2018,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7540,18,0,2
2018,110608,California State University-Northridge,115300,1,California State University- Northridge,40212,2,8,4
2018,110617,California State University-Sacramento,115000,1,Sacramento State,31902,0,26,1
2018,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20238,1,1,1
2018,366711,California State University-San Marcos,3011300,1,Main Campus,15972,0,0,0
2018,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10577,0,0,4
2018,122409,San Diego State University,115100,1,Main Campus,35303,0,2,0
2018,122597,San Francisco State University,115400,1,Main Campus,29778,1,6,1
2018,122755,San Jose State University,115500,1,Main Campus,35400,0,1,0
2018,123572,Sonoma State University,115600,1,Sonoma State University,9459,5,0,2
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,0,21,12
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,0,0,0
2019,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,28058,0,3,0
2019,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,941,0,0,0
2019,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,941,0,0,0
2019,110486,California State University-Bakersfield,799300,1,Main Campus,11531,0,0,0
2019,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7525,0,0,4
2019,110538,California State University-Chico,114600,1,Main Campus,17110,3,0,3
2019,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,17110,0,0,0
2019,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,17977,0,0,0
2019,110574,California State University-East Bay,113800,1,Main Campus,16064,1,2,2
2019,110556,California State University-Fresno,114700,1,Main Campus,24298,1,0,1
2019,110565,California State University-Fullerton,113700,1,Main Campus,40445,0,0,5
2019,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40445,0,0,0
2019,110583,California State University-Long Beach,113900,1,Main Campus,38674,0,1,0
2019,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26671,0,2,0
2019,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7650,40,0,13
2019,110608,California State University-Northridge,115300,1,California State University- Northridge,39910,1,6,4
2019,110617,California State University-Sacramento,115000,1,Sacramento State,31992,0,0,2
2019,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20638,3,3,2
2019,366711,California State University-San Marcos,3011300,1,Main Campus,16053,0,3,4
2019,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10974,0,0,2
2019,122409,San Diego State University,115100,1,Main Campus,35544,1,0,0
2019,122597,San Francisco State University,115400,1,Main Campus,29032,6,5,0
2019,122755,San Jose State University,115500,1,Main Campus,36085,0,6,1
2019,123572,Sonoma State University,115600,1,Sonoma State University,8887,2,11,0
2020,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22440,5,0,23
2020,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6612,0,0,0
2020,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,30014,0,0,0
2020,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,952,1,0,0
2020,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,952,0,0,0
2020,110486,California State University-Bakersfield,799300,1,Main Campus,11745,0,0,0
2020,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7446,1,0,5
2020,110538,California State University-Chico,114600,1,Main Campus,16746,1,0,0
2020,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,16746,0,0,0
2020,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,18687,0,0,0
2020,110574,California State University-East Bay,113800,1,Main Campus,16253,0,0,0
2020,110556,California State University-Fresno,114700,1,Main Campus,25497,0,0,0
2020,110565,California State University-Fullerton,113700,1,Main Campus,42051,0,3,2
2020,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,42051,0,0,0
2020,110583,California State University-Long Beach,113900,1,Main Campus,40069,0,0,0
2020,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26745,0,0,2
2020,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7409,6,0,3
2020,110608,California State University-Northridge,115300,1,California State University- Northridge,40381,5,0,0
2020,110617,California State University-Sacramento,115000,1,Sacramento State,32293,2,0,0
2020,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19689,0,1,0
2020,366711,California State University-San Marcos,3011300,1,Main Campus,16367,0,0,0
2020,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,11163,0,1,2
2020,122409,San Diego State University,115100,1,Main Campus,36334,0,0,0
2020,122597,San Francisco State University,115400,1,Main Campus,27349,0,1,0
2020,122755,San Jose State University,115500,1,Main Campus,36208,38,0,1
2020,123572,Sonoma State University,115600,1,Sonoma State University,8018,3,0,0
2021,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22231,4,0,21
2021,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,5908,1,0,0
2021,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,29456,7,0,0
2021,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,925,0,0,0
2021,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,925,0,0,0
2021,110486,California State University-Bakersfield,799300,1,Main Campus,10972,0,0,0
2021,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6966,1,0,1
2021,110538,California State University-Chico,114600,1,Main Campus,15702,0,0,0
2021,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,15702,0,0,0
2021,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,17837,0,0,0
2021,110574,California State University-East Bay,113800,1,Main Campus,15189,1,0,0
2021,110556,California State University-Fresno,114700,1,Main Campus,25047,0,0,0
2021,110565,California State University-Fullerton,113700,1,Main Campus,40738,0,0,5
2021,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40738,0,0,0
2021,110583,California State University-Long Beach,113900,1,Main Campus,40190,1,0,0
2021,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27513,1,1,1
2021,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7503,5,0,2
2021,110608,California State University-Northridge,115300,1,California State University- Northridge,40108,3,0,0
2021,110617,California State University-Sacramento,115000,1,Sacramento State,32498,2,0,0
2021,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19514,0,0,0
2021,366711,California State University-San Marcos,3011300,1,Main Campus,16255,0,0,0
2021,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10481,0,1,3
2021,122409,San Diego State University,115100,1,Main Campus,36484,1,2,0
2021,122597,San Francisco State University,115400,1,Main Campus,26899,9,0,10
2021,122755,San Jose State University,115500,1,Main Campus,37133,7,0,0
2021,123572,Sonoma State University,115600,1,Sonoma State University,7371,0,0,4
2022,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22000,4,0,26
2022,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6025,2,0,1
2022,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,27503,2,0,2
2022,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,849,1,0,0
2022,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,849,0,0,0
2022,110486,California State University-Bakersfield,799300,1,Main Campus,9613,0,0,0
2022,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6128,8,0,7
2022,110538,California State University-Chico,114600,1,Main Campus,14183,1,0,2
2022,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,14183,0,0,0
2022,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,16426,1,1,0
2022,110574,California State University-East Bay,113800,1,Main Campus,13673,2,0,0
2022,110556,California State University-Fresno,114700,1,Main Campus,23999,0,1,2
2022,110565,California State University-Fullerton,113700,1,Main Campus,40386,1,0,6
2022,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40386,0,0,0
2022,110583,California State University-Long Beach,113900,1,Main Campus,38973,0,0,0
2022,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26460,1,2,2
2022,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7045,13,1,1
2022,110608,California State University-Northridge,115300,1,California State University- Northridge,37579,2,0,0
2022,110617,California State University-Sacramento,115000,1,Sacramento State,31818,14,0,3
2022,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19803,0,0,0
2022,366711,California State University-San Marcos,3011300,1,Main Campus,15109,4,0,1
2022,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10154,0,3,3
2022,122409,San Diego State University,115100,1,Main Campus,37402,3,0,0
