Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2018,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,17578,0,0,0
2018,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,16732,0,20,1
2018,110574,California State University-East Bay,113800,1,Main Campus,15628,0,1,1
2018,110556,California State University-Fresno,114700,1,Main Campus,25137,0,3,2
2018,110565,California State University-Fullerton,113700,1,Main Campus,40280,0,44,115
2018,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40280,0,0,0
2018,110583,California State University-Long Beach,113900,1,Main Campus,37466,1,0,4
2018,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,28036,0,64,168
2018,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7540,1,7,19
2018,110608,California State University-Northridge,115300,1,California State University- Northridge,40212,5,118,122
2018,110617,California State University-Sacramento,115000,1,Sacramento State,31902,0,15,3
2018,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20238,0,0,33
2018,366711,California State University-San Marcos,3011300,1,Main Campus,15972,1,44,25
2018,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10577,0,6,21
2018,122409,San Diego State University,115100,1,Main Campus,35303,0,144,569
2018,122597,San Francisco State University,115400,1,Main Campus,29778,1,48,50
2018,122755,San Jose State University,115500,1,Main Campus,35400,1,39,230
2018,123572,Sonoma State University,115600,1,Sonoma State University,9459,1,6,15
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,0,16,38
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,0,68,20
2019,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,28058,1,25,38
2019,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,941,0,0,30
2019,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,941,0,0,9
2019,110486,California State University-Bakersfield,799300,1,Main Campus,11531,0,0,6
2019,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7525,0,14,61
2019,110538,California State University-Chico,114600,1,Main Campus,17110,0,17,0
2019,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,17110,0,0,0
2019,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,17977,0,22,9
2019,110574,California State University-East Bay,113800,1,Main Campus,16064,0,0,0
2019,110556,California State University-Fresno,114700,1,Main Campus,24298,1,9,0
